time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z
0.000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.626, 1.245, -3.059,1.238, 347.661, 352.644,1.781, 0.785, -3.072,356.366, 23.011, 327.840,null,null,null,null,null,null
0.040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.058,1.296, 347.714, 352.579,1.781, 0.785, -3.072,356.370, 23.005, 327.841,null,null,null,null,null,null
0.080,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.058,1.296, 347.714, 352.579,1.781, 0.785, -3.072,356.370, 23.005, 327.841,null,null,null,null,null,null
0.120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.058,1.296, 347.714, 352.579,1.781, 0.785, -3.072,356.370, 23.005, 327.841,null,null,null,null,null,null
0.160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.058,1.296, 347.714, 352.579,1.781, 0.785, -3.072,356.370, 23.005, 327.841,null,null,null,null,null,null
0.200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.058,1.296, 347.714, 352.579,1.781, 0.785, -3.072,356.370, 23.005, 327.841,null,null,null,null,null,null
0.240,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.058,1.296, 347.714, 352.579,1.781, 0.785, -3.072,356.370, 23.005, 327.841,null,null,null,null,null,null
0.280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.058,1.296, 347.714, 352.579,1.781, 0.785, -3.072,356.370, 23.005, 327.841,null,null,null,null,null,null
0.320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.058,1.296, 347.714, 352.579,1.781, 0.785, -3.072,356.370, 23.005, 327.841,null,null,null,null,null,null
0.360,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.058,1.296, 347.714, 352.579,1.781, 0.785, -3.072,356.370, 23.005, 327.841,null,null,null,null,null,null
0.400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.058,1.296, 347.714, 352.579,1.781, 0.785, -3.072,356.370, 23.005, 327.841,null,null,null,null,null,null
0.440,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.058,1.296, 347.714, 352.579,1.781, 0.785, -3.072,356.370, 23.005, 327.841,null,null,null,null,null,null
0.480,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.058,1.269, 347.773, 352.629,1.781, 0.785, -3.072,356.371, 23.004, 327.840,null,null,null,null,null,null
0.520,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.244, -3.058,1.303, 347.674, 352.622,1.781, 0.785, -3.072,356.369, 23.005, 327.841,null,null,null,null,null,null
0.560,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.244, -3.058,1.303, 347.674, 352.622,1.781, 0.785, -3.072,356.369, 23.005, 327.841,null,null,null,null,null,null
0.600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.244, -3.058,1.303, 347.674, 352.622,1.781, 0.785, -3.072,356.369, 23.005, 327.841,null,null,null,null,null,null
0.640,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.244, -3.058,1.303, 347.674, 352.622,1.781, 0.785, -3.072,356.369, 23.005, 327.841,null,null,null,null,null,null
0.680,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.244, -3.058,1.303, 347.674, 352.622,1.781, 0.785, -3.072,356.369, 23.005, 327.841,null,null,null,null,null,null
0.720,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.244, -3.058,1.303, 347.674, 352.622,1.781, 0.785, -3.072,356.369, 23.005, 327.841,null,null,null,null,null,null
0.760,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.244, -3.058,1.303, 347.674, 352.622,1.781, 0.785, -3.072,356.369, 23.005, 327.841,null,null,null,null,null,null
0.800,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.244, -3.058,1.303, 347.674, 352.622,1.781, 0.785, -3.072,356.369, 23.005, 327.841,null,null,null,null,null,null
