time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z
0.000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.811, 1.277, -2.311,1.418, 83.464, 355.289,0.807, 0.764, -1.959,14.992, 346.420, 15.228,null,null,null,null,null,null
0.040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.811, 1.277, -2.311,1.418, 83.464, 355.289,0.807, 0.764, -1.959,14.992, 346.420, 15.228,null,null,null,null,null,null
0.080,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.810, 1.275, -2.290,2.753, 75.232, 357.105,0.803, 0.765, -1.960,14.957, 346.501, 14.708,null,null,null,null,null,null
0.120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.807, 1.273, -2.268,4.313, 66.790, 358.447,0.800, 0.766, -1.959,14.339, 345.908, 14.530,null,null,null,null,null,null
0.160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.807, 1.273, -2.268,4.313, 66.790, 358.447,0.800, 0.766, -1.959,14.339, 345.908, 14.530,null,null,null,null,null,null
0.200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.807, 1.273, -2.268,4.313, 66.790, 358.447,0.800, 0.766, -1.959,14.339, 345.908, 14.530,null,null,null,null,null,null
0.240,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.807, 1.273, -2.268,4.313, 66.790, 358.447,0.800, 0.766, -1.959,14.339, 345.908, 14.530,null,null,null,null,null,null
0.280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.807, 1.273, -2.268,4.313, 66.790, 358.447,0.800, 0.766, -1.959,14.339, 345.908, 14.530,null,null,null,null,null,null
0.320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.807, 1.273, -2.268,4.313, 66.790, 358.447,0.800, 0.766, -1.959,14.339, 345.908, 14.530,null,null,null,null,null,null
0.360,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.799, 1.271, -2.247,5.551, 57.254, 359.144,0.797, 0.767, -1.959,13.207, 345.455, 14.740,null,null,null,null,null,null
