time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z
0.000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.322, 1.273, -2.450,5.211, 12.454, 355.221,-0.273, 0.782, -2.222,10.735, 345.692, 15.710,0.301, 1.009, 0.374,null,null,null
0.040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.322, 1.273, -2.450,5.211, 12.454, 355.221,-0.273, 0.782, -2.222,10.735, 345.692, 15.710,0.098, 1.096, -0.548,null,null,null
0.080,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.323, 1.274, -2.451,5.065, 12.381, 355.170,-0.273, 0.782, -2.222,10.941, 345.284, 15.348,0.096, 1.101, -0.545,null,null,null
0.120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.323, 1.274, -2.451,5.023, 12.214, 355.184,-0.272, 0.782, -2.222,11.212, 345.415, 15.316,0.092, 1.101, -0.533,null,null,null
0.160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.323, 1.274, -2.451,5.041, 12.144, 355.162,-0.272, 0.782, -2.222,11.769, 345.588, 15.467,0.092, 1.100, -0.524,null,null,null
0.200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.323, 1.274, -2.451,5.041, 12.144, 355.162,-0.272, 0.782, -2.222,11.769, 345.588, 15.467,0.092, 1.100, -0.524,null,null,null
0.240,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.323, 1.274, -2.451,5.041, 12.144, 355.162,-0.272, 0.782, -2.222,11.769, 345.588, 15.467,0.092, 1.100, -0.524,null,null,null
0.280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.323, 1.274, -2.451,5.041, 12.144, 355.162,-0.272, 0.782, -2.222,11.769, 345.588, 15.467,0.092, 1.100, -0.524,null,null,null
0.320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.323, 1.274, -2.451,5.041, 12.144, 355.162,-0.272, 0.782, -2.222,11.769, 345.588, 15.467,0.092, 1.100, -0.524,null,null,null
0.360,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.323, 1.274, -2.451,5.041, 12.144, 355.162,-0.272, 0.782, -2.222,11.769, 345.588, 15.467,0.092, 1.100, -0.524,null,null,null
0.400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.323, 1.274, -2.451,5.041, 12.144, 355.162,-0.272, 0.782, -2.222,11.769, 345.588, 15.467,0.092, 1.100, -0.524,null,null,null
0.440,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.324, 1.274, -2.451,5.151, 12.161, 355.312,-0.272, 0.783, -2.222,11.858, 345.701, 15.405,0.114, 1.087, -0.421,null,null,null
0.480,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.324, 1.274, -2.451,5.223, 12.095, 355.346,-0.272, 0.783, -2.222,11.829, 345.669, 15.371,0.111, 1.084, -0.419,null,null,null
