time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z
0.000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.033, 4.720, 353.237,-0.274, 0.776, -2.231,10.562, 348.146, 14.827,null,null,null,null,null,null
0.040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.033, 4.720, 353.237,-0.274, 0.776, -2.231,10.562, 348.146, 14.827,null,null,null,null,null,null
0.080,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,3.995, 4.714, 353.195,-0.274, 0.777, -2.230,10.549, 348.251, 14.839,null,null,null,null,null,null
0.120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.081, 4.741, 353.164,-0.274, 0.776, -2.230,10.851, 348.320, 14.811,-0.111, 1.085, 0.160,null,null,null
0.160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.081, 4.741, 353.164,-0.274, 0.776, -2.230,10.851, 348.320, 14.811,-0.111, 1.085, 0.160,null,null,null
0.200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.081, 4.741, 353.164,-0.274, 0.776, -2.230,10.851, 348.320, 14.811,-0.111, 1.085, 0.160,null,null,null
0.240,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.081, 4.741, 353.164,-0.274, 0.776, -2.230,10.851, 348.320, 14.811,-0.111, 1.085, 0.160,null,null,null
0.280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.081, 4.741, 353.164,-0.274, 0.776, -2.230,10.851, 348.320, 14.811,-0.111, 1.085, 0.160,null,null,null
0.320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.081, 4.741, 353.164,-0.274, 0.776, -2.230,10.851, 348.320, 14.811,-0.111, 1.085, 0.160,null,null,null
0.360,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.081, 4.741, 353.164,-0.274, 0.776, -2.230,10.851, 348.320, 14.811,-0.111, 1.085, 0.160,null,null,null
0.400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.081, 4.741, 353.164,-0.274, 0.776, -2.230,10.851, 348.320, 14.811,-0.111, 1.085, 0.160,null,null,null
0.440,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.081, 4.741, 353.164,-0.274, 0.776, -2.230,10.851, 348.320, 14.811,-0.111, 1.085, 0.160,null,null,null
0.480,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.081, 4.741, 353.164,-0.274, 0.776, -2.230,10.851, 348.320, 14.811,-0.111, 1.085, 0.160,null,null,null
0.520,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.081, 4.741, 353.164,-0.274, 0.776, -2.230,10.851, 348.320, 14.811,-0.111, 1.085, 0.160,null,null,null
0.560,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.081, 4.741, 353.164,-0.274, 0.776, -2.230,10.851, 348.320, 14.811,-0.111, 1.085, 0.160,null,null,null
0.600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.081, 4.741, 353.164,-0.274, 0.776, -2.230,10.851, 348.320, 14.811,-0.111, 1.085, 0.160,null,null,null
0.640,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.081, 4.741, 353.164,-0.274, 0.776, -2.230,10.851, 348.320, 14.811,-0.111, 1.085, 0.160,null,null,null
0.680,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-0.329, 1.273, -2.459,4.081, 4.741, 353.164,-0.274, 0.776, -2.230,10.851, 348.320, 14.811,-0.111, 1.085, 0.160,null,null,null
