time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z
0.000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.420, 1.496, -0.964,20.895, 73.883, 345.502,2.494, 0.929, -0.965,353.338, 286.837, 345.063,null,null,null,null,null,null
0.040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.420, 1.496, -0.964,20.895, 73.883, 345.502,2.494, 0.929, -0.965,353.338, 286.837, 345.063,null,null,null,null,null,null
0.080,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.420, 1.496, -0.964,20.895, 73.883, 345.502,2.494, 0.929, -0.965,353.338, 286.837, 345.063,null,null,null,null,null,null
0.120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.420, 1.496, -0.964,20.895, 73.883, 345.502,2.494, 0.929, -0.965,353.338, 286.837, 345.063,null,null,null,null,null,null
0.160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.420, 1.496, -0.964,20.895, 73.883, 345.502,2.494, 0.929, -0.965,353.338, 286.837, 345.063,null,null,null,null,null,null
0.200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.420, 1.496, -0.964,20.895, 73.883, 345.502,2.494, 0.929, -0.965,353.338, 286.837, 345.063,null,null,null,null,null,null
0.240,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.420, 1.496, -0.964,20.895, 73.883, 345.502,2.494, 0.929, -0.965,353.338, 286.837, 345.063,null,null,null,null,null,null
0.280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.420, 1.496, -0.964,20.895, 73.883, 345.502,2.494, 0.929, -0.965,353.338, 286.837, 345.063,null,null,null,null,null,null
0.320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.420, 1.496, -0.964,20.895, 73.883, 345.502,2.494, 0.929, -0.965,353.338, 286.837, 345.063,null,null,null,null,null,null
0.360,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.419, 1.497, -0.961,20.754, 73.028, 345.268,2.493, 0.930, -0.969,354.692, 284.712, 343.417,null,null,null,null,null,null
0.400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.417, 1.498, -0.961,20.252, 72.342, 345.265,2.493, 0.931, -0.975,355.791, 283.310, 342.741,null,null,null,null,null,null
0.440,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.413, 1.498, -0.957,20.180, 71.263, 344.897,2.492, 0.932, -0.981,357.058, 282.616, 342.963,null,null,null,null,null,null
0.480,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.411, 1.500, -0.953,20.427, 69.777, 345.135,2.490, 0.933, -0.989,357.999, 281.920, 343.165,null,null,null,null,null,null
0.520,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.411, 1.500, -0.953,20.427, 69.777, 345.135,2.490, 0.933, -0.989,357.999, 281.920, 343.165,null,null,null,null,null,null
0.560,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.411, 1.500, -0.953,20.427, 69.777, 345.135,2.490, 0.933, -0.989,357.999, 281.920, 343.165,null,null,null,null,null,null
0.600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.411, 1.500, -0.953,20.427, 69.777, 345.135,2.490, 0.933, -0.989,357.999, 281.920, 343.165,null,null,null,null,null,null
0.640,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.411, 1.500, -0.953,20.427, 69.777, 345.135,2.490, 0.933, -0.989,357.999, 281.920, 343.165,null,null,null,null,null,null
0.680,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.411, 1.500, -0.953,20.427, 69.777, 345.135,2.490, 0.933, -0.989,357.999, 281.920, 343.165,null,null,null,null,null,null
0.720,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.411, 1.500, -0.953,20.427, 69.777, 345.135,2.490, 0.933, -0.989,357.999, 281.920, 343.165,null,null,null,null,null,null
0.760,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.411, 1.500, -0.953,20.427, 69.777, 345.135,2.490, 0.933, -0.989,357.999, 281.920, 343.165,null,null,null,null,null,null
0.800,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.411, 1.500, -0.953,20.427, 69.777, 345.135,2.490, 0.933, -0.989,357.999, 281.920, 343.165,null,null,null,null,null,null
0.840,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.411, 1.500, -0.953,20.427, 69.777, 345.135,2.490, 0.933, -0.989,357.999, 281.920, 343.165,null,null,null,null,null,null
0.880,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.411, 1.500, -0.953,20.427, 69.777, 345.135,2.490, 0.933, -0.989,357.999, 281.920, 343.165,null,null,null,null,null,null
0.920,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.411, 1.500, -0.953,20.427, 69.777, 345.135,2.490, 0.933, -0.989,357.999, 281.920, 343.165,null,null,null,null,null,null
0.960,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.411, 1.500, -0.953,20.427, 69.777, 345.135,2.490, 0.933, -0.989,357.999, 281.920, 343.165,null,null,null,null,null,null
1.000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.405, 1.504, -0.945,20.421, 68.182, 345.987,2.488, 0.933, -1.000,357.925, 279.688, 344.029,null,null,null,null,null,null
1.040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.396, 1.511, -0.935,20.114, 65.374, 346.366,2.486, 0.936, -1.019,356.680, 278.494, 345.024,null,null,null,null,null,null
