time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z
0.000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.060,1.026, 347.600, 352.534,1.783, 0.787, -3.072,356.379, 23.519, 327.558,null,null,null,null,null,null
0.040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.060,1.044, 347.601, 352.529,1.783, 0.787, -3.072,356.383, 23.520, 327.516,null,null,null,null,null,null
0.080,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.060,1.020, 347.520, 352.528,1.783, 0.787, -3.072,356.414, 23.511, 327.506,null,null,null,null,null,null
0.120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.060,0.996, 347.615, 352.477,1.783, 0.787, -3.072,356.406, 23.474, 327.527,null,null,null,null,null,null
0.160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.060,1.106, 347.734, 352.521,1.783, 0.787, -3.072,356.410, 23.462, 327.530,null,null,null,null,null,null
0.200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.626, 1.246, -3.060,1.050, 347.740, 352.700,1.783, 0.787, -3.073,356.352, 23.448, 327.616,null,null,null,null,null,null
0.240,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.626, 1.245, -3.060,1.009, 347.581, 352.692,1.783, 0.786, -3.073,356.335, 23.458, 327.590,null,null,null,null,null,null
0.280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.626, 1.245, -3.060,1.008, 347.451, 352.599,1.783, 0.786, -3.073,356.392, 23.458, 327.546,null,null,null,null,null,null
0.320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.060,0.905, 347.461, 352.572,1.783, 0.786, -3.072,356.363, 23.413, 327.588,null,null,null,null,null,null
0.360,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.627, 1.245, -3.060,0.905, 347.461, 352.572,1.783, 0.786, -3.072,356.363, 23.413, 327.588,null,null,null,null,null,null
