time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z
0.000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.651, 1.267, -3.244,358.177, 101.926, 347.746,1.791, 0.784, -3.122,355.639, 38.151, 329.294,null,null,null,null,null,null
0.040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.651, 1.267, -3.244,358.177, 101.926, 347.746,1.791, 0.784, -3.122,355.639, 38.151, 329.294,null,null,null,null,null,null
0.080,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.651, 1.268, -3.244,358.032, 101.980, 347.823,1.791, 0.784, -3.122,355.630, 38.194, 329.219,null,null,null,null,null,null
0.120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.650, 1.268, -3.242,358.019, 101.416, 347.969,1.791, 0.784, -3.122,355.628, 38.207, 329.286,null,null,null,null,null,null
0.160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.650, 1.269, -3.241,358.041, 100.985, 348.221,1.791, 0.784, -3.122,355.610, 38.200, 329.232,null,null,null,null,null,null
0.200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.270, -3.238,357.759, 100.437, 348.680,1.792, 0.784, -3.122,355.652, 38.181, 329.223,null,null,null,null,null,null
0.240,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.648, 1.271, -3.235,357.407, 99.778, 349.155,1.791, 0.784, -3.122,355.685, 38.164, 329.299,null,null,null,null,null,null
0.280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.648, 1.271, -3.235,357.407, 99.778, 349.155,1.791, 0.784, -3.122,355.685, 38.164, 329.299,null,null,null,null,null,null
0.320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.648, 1.271, -3.235,357.407, 99.778, 349.155,1.791, 0.784, -3.122,355.685, 38.164, 329.299,null,null,null,null,null,null
0.360,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.648, 1.271, -3.235,357.407, 99.778, 349.155,1.791, 0.784, -3.122,355.685, 38.164, 329.299,null,null,null,null,null,null
0.400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.648, 1.271, -3.235,357.407, 99.778, 349.155,1.791, 0.784, -3.122,355.685, 38.164, 329.299,null,null,null,null,null,null
0.440,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.648, 1.271, -3.235,357.407, 99.778, 349.155,1.791, 0.784, -3.122,355.685, 38.164, 329.299,null,null,null,null,null,null
0.480,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.647, 1.271, -3.231,357.039, 99.214, 349.703,1.791, 0.784, -3.122,355.659, 38.152, 329.247,null,null,null,null,null,null
0.520,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.647, 1.272, -3.226,356.972, 98.335, 350.355,1.791, 0.784, -3.123,355.641, 38.163, 329.127,null,null,null,null,null,null
0.560,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.648, 1.272, -3.223,357.128, 97.236, 350.838,1.791, 0.784, -3.123,355.651, 38.130, 329.023,null,null,null,null,null,null
0.600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
0.640,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
0.680,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
0.720,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
0.760,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
0.800,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
0.840,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
0.880,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
0.920,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
0.960,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.080,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.240,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.360,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.440,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.480,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.520,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.560,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.640,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
1.680,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.649, 1.272, -3.218,357.173, 96.019, 351.540,1.792, 0.784, -3.122,355.688, 38.040, 328.924,null,null,null,null,null,null
