time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z
0.000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.621, 1.247, -3.066,0.118, 346.588, 352.721,1.782, 0.789, -3.076,356.174, 24.714, 327.987,null,null,null,null,null,null
0.040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.621, 1.247, -3.066,0.118, 346.588, 352.721,1.782, 0.789, -3.076,356.174, 24.714, 327.987,null,null,null,null,null,null
0.080,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.622, 1.247, -3.066,0.063, 346.410, 352.683,1.782, 0.789, -3.075,356.458, 24.613, 327.920,null,null,null,null,null,null
0.120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.247, -3.064,0.189, 346.366, 352.558,1.782, 0.789, -3.072,356.487, 23.630, 327.685,null,null,null,null,null,null
0.160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.063,0.422, 346.499, 352.499,1.782, 0.790, -3.071,356.351, 23.450, 327.689,null,null,null,null,null,null
0.200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.623, 1.246, -3.061,0.567, 346.514, 352.623,1.782, 0.789, -3.071,356.386, 23.361, 327.532,null,null,null,null,null,null
0.240,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.623, 1.246, -3.061,0.566, 346.284, 352.477,1.782, 0.790, -3.070,356.316, 23.311, 327.487,null,null,null,null,null,null
0.280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.573, 346.080, 352.457,1.782, 0.790, -3.070,356.317, 23.289, 327.304,null,null,null,null,null,null
0.320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.542, 346.109, 352.572,1.782, 0.790, -3.069,356.333, 23.148, 327.272,null,null,null,null,null,null
0.360,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.602, 346.144, 352.517,1.782, 0.789, -3.069,356.408, 23.045, 327.355,null,null,null,null,null,null
0.400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.602, 346.144, 352.517,1.782, 0.789, -3.069,356.408, 23.045, 327.355,null,null,null,null,null,null
0.440,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.602, 346.144, 352.517,1.782, 0.789, -3.069,356.408, 23.045, 327.355,null,null,null,null,null,null
0.480,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.602, 346.144, 352.517,1.782, 0.789, -3.069,356.408, 23.045, 327.355,null,null,null,null,null,null
0.520,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.602, 346.144, 352.517,1.782, 0.789, -3.069,356.408, 23.045, 327.355,null,null,null,null,null,null
0.560,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.602, 346.144, 352.517,1.782, 0.789, -3.069,356.408, 23.045, 327.355,null,null,null,null,null,null
0.600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.602, 346.144, 352.517,1.782, 0.789, -3.069,356.408, 23.045, 327.355,null,null,null,null,null,null
0.640,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.602, 346.144, 352.517,1.782, 0.789, -3.069,356.408, 23.045, 327.355,null,null,null,null,null,null
0.680,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.602, 346.144, 352.517,1.782, 0.789, -3.069,356.408, 23.045, 327.355,null,null,null,null,null,null
0.720,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.602, 346.144, 352.517,1.782, 0.789, -3.069,356.408, 23.045, 327.355,null,null,null,null,null,null
0.760,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.602, 346.144, 352.517,1.782, 0.789, -3.069,356.408, 23.045, 327.355,null,null,null,null,null,null
0.800,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.602, 346.144, 352.517,1.782, 0.789, -3.069,356.408, 23.045, 327.355,null,null,null,null,null,null
0.840,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.602, 346.144, 352.517,1.782, 0.789, -3.069,356.408, 23.045, 327.355,null,null,null,null,null,null
0.880,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.602, 346.144, 352.517,1.782, 0.789, -3.069,356.408, 23.045, 327.355,null,null,null,null,null,null
0.920,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.602, 346.144, 352.517,1.782, 0.789, -3.069,356.408, 23.045, 327.355,null,null,null,null,null,null
0.960,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.624, 1.246, -3.060,0.602, 346.144, 352.517,1.782, 0.789, -3.069,356.408, 23.045, 327.355,null,null,null,null,null,null
1.000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.625, 1.246, -3.059,0.696, 346.161, 352.456,1.782, 0.789, -3.068,356.451, 22.987, 327.244,null,null,null,null,null,null
1.040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.625, 1.245, -3.059,0.876, 346.243, 352.507,1.783, 0.789, -3.068,356.452, 22.933, 327.232,null,null,null,null,null,null
1.080,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.625, 1.245, -3.059,0.876, 346.243, 352.507,1.783, 0.789, -3.068,356.452, 22.933, 327.232,null,null,null,null,null,null
1.120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.625, 1.245, -3.059,0.876, 346.243, 352.507,1.783, 0.789, -3.068,356.452, 22.933, 327.232,null,null,null,null,null,null
1.160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.625, 1.245, -3.059,0.876, 346.243, 352.507,1.783, 0.789, -3.068,356.452, 22.933, 327.232,null,null,null,null,null,null
1.200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.625, 1.245, -3.059,0.876, 346.243, 352.507,1.783, 0.789, -3.068,356.452, 22.933, 327.232,null,null,null,null,null,null
1.240,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.625, 1.245, -3.059,0.876, 346.243, 352.507,1.783, 0.789, -3.068,356.452, 22.933, 327.232,null,null,null,null,null,null
1.280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.625, 1.245, -3.059,0.876, 346.243, 352.507,1.783, 0.789, -3.068,356.452, 22.933, 327.232,null,null,null,null,null,null
1.320,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.625, 1.245, -3.059,0.876, 346.243, 352.507,1.783, 0.789, -3.068,356.452, 22.933, 327.232,null,null,null,null,null,null
