time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z
0.000,-1.165, 1.435, -3.477,330.277, 284.594, 354.458,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.652, 0.974, -1.668,324.329, 72.036, 44.221,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.464,-1.165, 1.435, -3.477,330.277, 284.594, 354.458,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.652, 0.974, -1.668,324.329, 72.036, 44.221,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.470,-1.165, 1.435, -3.477,330.275, 284.601, 354.439,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.653, 0.974, -1.668,324.413, 71.904, 44.393,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.475,-1.164, 1.436, -3.477,330.354, 284.574, 354.514,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.653, 0.973, -1.669,324.282, 71.779, 44.386,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.481,-1.164, 1.436, -3.478,330.313, 284.501, 354.550,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.654, 0.973, -1.669,324.268, 71.936, 44.369,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.487,-1.164, 1.436, -3.478,330.354, 284.480, 354.585,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.654, 0.973, -1.669,324.148, 72.063, 44.276,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.493,-1.164, 1.436, -3.478,330.287, 284.384, 354.620,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.654, 0.973, -1.669,324.108, 71.944, 44.350,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.499,-1.164, 1.436, -3.478,330.287, 284.384, 354.620,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.654, 0.973, -1.669,324.108, 71.944, 44.350,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.505,-1.164, 1.436, -3.478,330.287, 284.384, 354.620,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.654, 0.973, -1.669,324.108, 71.944, 44.350,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.511,-1.164, 1.436, -3.478,330.287, 284.384, 354.620,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.654, 0.973, -1.669,324.108, 71.944, 44.350,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.518,-1.164, 1.435, -3.477,330.334, 284.498, 354.493,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.654, 0.973, -1.669,324.037, 71.835, 44.393,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.524,-1.164, 1.436, -3.477,330.399, 284.495, 354.525,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.654, 0.973, -1.670,324.149, 71.926, 44.313,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
