time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z
0.000,-1.178, 1.432, -3.490,329.412, 284.961, 353.940,-1.606, 0.903, -3.173,49.208, 300.968, 178.544,null,null,null,null,null,null,-0.654, 0.967, -1.638,324.228, 72.050, 45.448,0.041, 0.793, -1.255,51.297, 296.707, 182.135,null,null,null,null,null,null
0.376,-1.178, 1.432, -3.490,329.412, 284.961, 353.940,-1.606, 0.903, -3.173,49.208, 300.968, 178.544,null,null,null,null,null,null,-0.654, 0.967, -1.638,324.228, 72.050, 45.448,0.041, 0.793, -1.255,51.297, 296.707, 182.135,null,null,null,null,null,null
0.383,-1.177, 1.434, -3.489,329.454, 285.431, 353.733,-1.605, 0.903, -3.174,49.208, 300.973, 178.549,null,null,null,null,null,null,-0.655, 0.967, -1.639,323.865, 71.528, 45.636,0.040, 0.794, -1.255,51.300, 296.714, 182.134,null,null,null,null,null,null
0.387,-1.172, 1.434, -3.485,328.832, 284.980, 353.686,-1.606, 0.900, -3.172,49.209, 300.976, 178.554,null,null,null,null,null,null,-0.651, 0.970, -1.644,324.134, 72.388, 45.385,0.040, 0.794, -1.255,51.295, 296.706, 182.135,null,null,null,null,null,null
0.393,-1.171, 1.435, -3.484,328.978, 284.963, 353.594,-1.606, 0.900, -3.172,49.210, 300.972, 178.550,null,null,null,null,null,null,-0.649, 0.971, -1.645,324.467, 72.544, 45.187,0.040, 0.794, -1.255,51.298, 296.709, 182.137,null,null,null,null,null,null
0.400,-1.170, 1.435, -3.483,328.875, 284.943, 353.605,-1.605, 0.902, -3.174,49.210, 300.973, 178.553,null,null,null,null,null,null,-0.649, 0.971, -1.646,324.616, 72.051, 45.294,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.406,-1.170, 1.434, -3.482,328.931, 284.852, 353.711,-1.605, 0.902, -3.174,49.206, 300.972, 178.551,null,null,null,null,null,null,-0.649, 0.970, -1.648,324.420, 71.713, 45.223,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.413,-1.170, 1.434, -3.482,328.931, 284.852, 353.711,-1.605, 0.902, -3.174,49.206, 300.972, 178.551,null,null,null,null,null,null,-0.649, 0.970, -1.648,324.420, 71.713, 45.223,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.419,-1.170, 1.434, -3.482,328.931, 284.852, 353.711,-1.605, 0.902, -3.174,49.206, 300.972, 178.551,null,null,null,null,null,null,-0.649, 0.970, -1.648,324.420, 71.713, 45.223,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.425,-1.170, 1.435, -3.482,328.973, 284.750, 353.836,-1.605, 0.902, -3.174,49.208, 300.973, 178.553,null,null,null,null,null,null,-0.649, 0.970, -1.648,324.420, 71.713, 45.223,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.431,-1.170, 1.435, -3.482,329.031, 284.658, 353.935,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.649, 0.970, -1.648,324.420, 71.713, 45.223,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.437,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.649, 0.970, -1.648,324.420, 71.713, 45.223,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.443,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.649, 0.970, -1.648,324.420, 71.713, 45.223,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.449,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.649, 0.970, -1.648,324.420, 71.713, 45.223,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.455,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.649, 0.970, -1.648,324.420, 71.713, 45.223,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.461,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.649, 0.970, -1.648,324.420, 71.713, 45.223,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.467,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.649, 0.970, -1.648,324.420, 71.713, 45.223,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.473,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.649, 0.970, -1.648,324.420, 71.713, 45.223,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.480,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.649, 0.970, -1.648,324.420, 71.713, 45.223,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.486,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.649, 0.970, -1.648,324.420, 71.713, 45.223,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.492,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.649, 0.970, -1.648,324.420, 71.713, 45.223,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.499,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.649, 0.970, -1.648,324.420, 71.713, 45.223,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.505,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.648, 0.969, -1.648,324.438, 71.647, 45.617,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.512,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.647, 0.968, -1.648,324.514, 71.624, 45.859,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.518,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.647, 0.967, -1.649,324.320, 71.438, 45.935,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.524,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.647, 0.967, -1.649,324.320, 71.438, 45.935,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.530,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.647, 0.967, -1.649,324.320, 71.438, 45.935,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.536,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.647, 0.967, -1.649,324.320, 71.438, 45.935,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.542,-1.169, 1.435, -3.481,329.070, 284.515, 354.121,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.647, 0.967, -1.649,324.320, 71.438, 45.935,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.549,-1.169, 1.435, -3.481,328.989, 284.385, 354.254,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.647, 0.967, -1.649,324.221, 71.105, 46.130,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.555,-1.168, 1.434, -3.481,328.925, 284.384, 354.200,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.647, 0.967, -1.650,324.214, 71.141, 45.971,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.562,-1.167, 1.434, -3.480,328.806, 284.443, 354.062,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.646, 0.967, -1.651,324.365, 71.120, 45.888,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.568,-1.167, 1.434, -3.480,328.806, 284.443, 354.062,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.646, 0.967, -1.651,324.365, 71.120, 45.888,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.574,-1.167, 1.434, -3.480,328.806, 284.443, 354.062,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.646, 0.967, -1.651,324.365, 71.120, 45.888,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.581,-1.167, 1.434, -3.480,328.806, 284.443, 354.062,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.646, 0.967, -1.651,324.365, 71.120, 45.888,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.588,-1.167, 1.434, -3.480,328.806, 284.443, 354.062,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.646, 0.967, -1.651,324.365, 71.120, 45.888,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.594,-1.167, 1.434, -3.480,328.806, 284.443, 354.062,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.646, 0.967, -1.651,324.365, 71.120, 45.888,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.600,-1.167, 1.434, -3.480,328.806, 284.443, 354.062,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.646, 0.967, -1.651,324.365, 71.120, 45.888,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.606,-1.167, 1.434, -3.480,328.806, 284.443, 354.062,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.646, 0.967, -1.651,324.365, 71.120, 45.888,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.613,-1.167, 1.434, -3.480,328.806, 284.443, 354.062,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.646, 0.967, -1.651,324.365, 71.120, 45.888,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.619,-1.167, 1.434, -3.480,328.806, 284.443, 354.062,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.646, 0.967, -1.651,324.365, 71.120, 45.888,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.626,-1.167, 1.434, -3.479,328.737, 284.565, 353.965,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.646, 0.967, -1.652,324.549, 71.048, 45.870,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.632,-1.167, 1.434, -3.479,328.815, 284.455, 354.096,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.647, 0.967, -1.652,324.354, 70.951, 45.895,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.638,-1.167, 1.434, -3.479,328.815, 284.455, 354.096,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.647, 0.967, -1.652,324.354, 70.951, 45.895,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.645,-1.167, 1.434, -3.479,328.815, 284.455, 354.096,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.647, 0.967, -1.652,324.354, 70.951, 45.895,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.651,-1.167, 1.434, -3.479,328.815, 284.455, 354.096,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.647, 0.967, -1.652,324.354, 70.951, 45.895,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
0.657,-1.167, 1.434, -3.479,328.815, 284.455, 354.096,-1.605, 0.902, -3.174,49.208, 300.973, 178.552,null,null,null,null,null,null,-0.647, 0.967, -1.652,324.354, 70.951, 45.895,0.040, 0.794, -1.255,51.298, 296.707, 182.136,null,null,null,null,null,null
